study_name,scenario,scenario_label,scenario_group,protocol,protocol_label,metric,count,mean,std,min,max,ci95_low,ci95_high,ci95_half_width
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,fnd,10,226.1,15.708808569292156,198.0,253.0,214.86259530510804,237.33740469489194,11.237404694891957
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hnd,10,257.2,5.411920998027307,246.0,260.0,253.32854493939786,261.07145506060215,3.8714550606021425
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,lnd,10,260.0,0.0,260.0,260.0,260.0,260.0,0.0
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,average_residual_energy_final_round,10,0.0025816729338545854,0.0006918265816655878,0.0018311359515756516,0.0037945210158043074,0.002086770010913801,0.0030765758567953697,0.0004949029229407844
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,packet_delivery_ratio,10,0.9967894078625529,0.0010276650354799682,0.9951840385276918,0.9984775989560678,0.9960542605823796,0.9975245551427262,0.0007351472801733476
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,end_to_end_delay,10,1.1533147710607845,0.01643379259026814,1.134286635845608,1.1871183316050236,1.141558744039756,1.165070798081813,0.011756027021028322
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,average_aoi,10,0.38508547008547017,0.41426785682796385,0.017628205128205128,1.3537393162393163,0.0887360977745974,0.681434842396343,0.29634937231087277
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hazardous_event_delivery_success_rate,10,0.9959429812177975,0.0017131517362372782,0.9933234421364985,0.9980662315687696,0.9947174662922742,0.9971684961433207,0.0012255149255232518
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,packets_generated,10,9106.6,188.4298867542573,8721.0,9328.0,8971.80537921574,9241.39462078426,134.79462078425877
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,packets_delivered,10,9077.5,195.14965767043736,8679.0,9301.0,8937.898344684192,9217.101655315808,139.60165531580776
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hazardous_packets_generated,10,4205.9,231.9307607407387,3753.0,4626.0,4039.986728592983,4371.813271407016,165.91327140701674
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,hazardous_packets_delivered,10,4189.1,236.25196060326968,3728.0,4617.0,4020.0955284291663,4358.104471570835,169.00447157083417
