study_name,scenario,scenario_label,scenario_group,protocol,protocol_label,seed,node_count,area_size,initial_energy,rounds_completed,fnd,hnd,lnd,average_residual_energy_over_time,average_residual_energy_final_round,packet_delivery_ratio,transmission_success_ratio,end_to_end_delay,throughput_bits_per_round,average_aoi,hazardous_event_delivery_success_rate,packets_generated,packets_attempted,packets_suppressed,packets_delivered,hazardous_packets_generated,hazardous_packets_attempted,hazardous_packets_delivered
main_comparisons,normal,Normal,evaluation,standard_leach,LEACH,7,36,100.0,0.09,250,85,148,250,0.025865469933450277,0.0,0.9745413702733059,0.9745413702733059,1.6605839416058394,83296.0,23.386,1.0,5342,5342,0,5206,0,0,0
main_comparisons,normal,Normal,evaluation,energy_aware_leach,EA-LEACH,7,36,100.0,0.09,164,117,131,164,0.035874816024229095,0.0,0.9795496798182194,0.9795496798182194,1.8015605229860818,115658.53658536586,3.204437669376693,1.0,4841,4841,0,4742,0,0,0
main_comparisons,normal,Normal,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,7,36,100.0,0.09,260,260,260,260,0.05514469821893932,0.02596051316194092,0.7001068376068376,1.0,1.1454295742408058,100815.38461538461,0.6430555555555556,1.0,9360,6553,2807,6553,0,0,0
main_comparisons,rising_warning,Rising Warning,evaluation,standard_leach,LEACH,7,36,100.0,0.09,226,89,145,226,0.028929894798497675,0.0,0.9653363312722504,0.9653363312722504,1.674689440993789,91185.8407079646,16.222590953785645,0.9367521367521368,5337,5337,0,5152,1170,1170,1096
main_comparisons,rising_warning,Rising Warning,evaluation,energy_aware_leach,EA-LEACH,7,36,100.0,0.09,186,113,136,186,0.03191761076343363,0.0,0.9676178911151588,0.9676178911151588,1.7885379627692952,102817.20430107527,7.48252688172043,0.94136460554371,4941,4941,0,4781,938,938,883
main_comparisons,rising_warning,Rising Warning,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,7,36,100.0,0.09,260,226,260,260,0.04119488079677426,0.0023877809911750205,0.9967245332459875,0.9981412639405205,1.1525906451966261,140446.15384615384,0.2537393162393163,0.9960928522178809,9159,9146,13,9129,4351,4351,4334
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,standard_leach,LEACH,7,36,100.0,0.09,222,88,144,222,0.029142194765463564,0.0,0.9802334337349398,0.9802334337349398,1.6594968311887843,93819.81981981982,14.78516016016016,0.9266968325791856,5312,5312,0,5207,1105,1105,1024
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,energy_aware_leach,EA-LEACH,7,36,100.0,0.09,163,119,135,163,0.03637702693257696,0.0,0.97482088024565,0.97482088024565,1.7847543049139016,116858.89570552147,2.893149284253578,0.8288920056100981,4885,4885,0,4762,713,713,591
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,7,36,100.0,0.09,260,260,260,260,0.0477141572435539,0.01124205132956715,0.8262820512820512,1.0,1.1802430824928885,118984.61538461539,0.3689102564102565,1.0,9360,7734,1626,7734,2458,2458,2458
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,standard_leach,LEACH,7,36,100.0,0.09,224,95,148,224,0.02877736547938779,0.0,0.9662455214029795,0.9662455214029795,1.6814988290398127,91500.0,15.69469246031746,0.9482535575679172,5303,5303,0,5124,773,773,733
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,energy_aware_leach,EA-LEACH,7,36,100.0,0.09,170,115,133,170,0.034601728221029256,0.0,0.97132322818517,0.97132322818517,1.8078869675242513,111576.4705882353,4.295915032679739,0.9931129476584022,4882,4882,0,4742,726,726,721
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,7,36,100.0,0.09,260,235,260,260,0.042403926672352946,0.004421133655804488,0.9910463861920172,0.9991299619358347,1.134102536192446,141338.46153846153,0.10160256410256409,0.9979338842975206,9270,9195,75,9187,1452,1452,1449
main_comparisons,normal,Normal,evaluation,standard_leach,LEACH,11,36,100.0,0.09,236,87,145,236,0.027772607034708085,0.0,0.9734962406015037,0.9734962406015037,1.6503185943232284,87779.66101694915,19.735993408662903,1.0,5320,5320,0,5179,0,0,0
main_comparisons,normal,Normal,evaluation,energy_aware_leach,EA-LEACH,11,36,100.0,0.09,166,117,137,166,0.03567989284597243,0.0,0.9604243166054671,0.9604243166054671,1.7905692438402718,113445.78313253012,3.3110776439089693,1.0,4902,4902,0,4708,0,0,0
main_comparisons,normal,Normal,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,11,36,100.0,0.09,260,260,260,260,0.05548399560555947,0.02686992573459991,0.6755341880341881,1.0,1.156254942274237,97276.92307692308,0.6994658119658119,1.0,9360,6323,3037,6323,0,0,0
main_comparisons,rising_warning,Rising Warning,evaluation,standard_leach,LEACH,11,36,100.0,0.09,246,91,148,246,0.027582472456014567,0.0,0.9740613096317794,0.9740613096317794,1.617877094972067,87317.0731707317,20.376129177958447,0.9375513557929335,5513,5513,0,5370,1217,1217,1141
main_comparisons,rising_warning,Rising Warning,evaluation,energy_aware_leach,EA-LEACH,11,36,100.0,0.09,195,120,135,195,0.03084759875848673,0.0,0.9715088282504013,0.9715088282504013,1.7676579925650557,99323.07692307692,9.167378917378917,0.9220297029702971,4984,4984,0,4842,808,808,745
main_comparisons,rising_warning,Rising Warning,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,11,36,100.0,0.09,260,228,259,260,0.04084868464471367,0.0018718673274926727,0.9969378827646544,0.9978108581436077,1.1550021939447126,140246.15384615384,0.27083333333333337,0.9951888381044022,9144,9136,8,9116,4157,4157,4137
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,standard_leach,LEACH,11,36,100.0,0.09,260,76,147,260,0.024875583263716774,8.369178383720265e-06,0.9727788279773157,0.9727788279773157,1.68558103381267,79169.23076923077,27.56153846153846,0.9052725647899911,5290,5290,0,5146,1119,1119,1013
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,energy_aware_leach,EA-LEACH,11,36,100.0,0.09,166,107,134,166,0.035460020588873924,0.0,0.9682212133718531,0.9682212133718531,1.830988917306053,113060.24096385542,3.6633199464524764,0.7873900293255132,4846,4846,0,4692,682,682,537
main_comparisons,hazardous_spike,Hazardous Spike,evaluation,tcn_predictive_pollution_aware_leach,TCN-PPA-LEACH,11,36,100.0,0.09,260,260,260,260,0.05272349819412948,0.01881399884000681,0.8303418803418804,1.0,1.1253216675244466,119569.23076923077,0.3639957264957265,1.0,9360,7772,1588,7772,2492,2492,2492
main_comparisons,hotspot_heavy,Hotspot Heavy,evaluation,standard_leach,LEACH,11,36,100.0,0.09,258,92,146,258,0.025736261963109745,0.0,0.9801152202192901,0.9801152202192901,1.6289343951459991,81767.44186046511,25.746770025839798,0.9723032069970845,5381,5381,0,5274,686,686,667
