study_name,scenario,scenario_label,scenario_group,protocol,protocol_label,seed,node_count,area_size,initial_energy,rounds_completed,fnd,hnd,lnd,average_residual_energy_over_time,average_residual_energy_final_round,packet_delivery_ratio,transmission_success_ratio,end_to_end_delay,throughput_bits_per_round,average_aoi,hazardous_event_delivery_success_rate,packets_generated,packets_attempted,packets_suppressed,packets_delivered,hazardous_packets_generated,hazardous_packets_attempted,hazardous_packets_delivered
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,7,36,100.0,0.09,260,226,260,260,0.04119488079677426,0.0023877809911750205,0.9967245332459875,0.9981412639405205,1.1525906451966261,140446.15384615384,0.2537393162393163,0.9960928522178809,9159,9146,13,9129,4351,4351,4334
ablation,rising_warning,Rising Warning,evaluation,no_tcn_prediction,No Prediction,7,36,100.0,0.09,260,250,260,260,0.04536764390700413,0.00711391901570627,0.9980713596914176,0.9995707693958579,1.09447128287708,143307.6923076923,0.018589743589743593,0.9991154356479434,9333,9319,14,9315,4522,4522,4518
ablation,rising_warning,Rising Warning,evaluation,no_aoi_term,No AoI,7,36,100.0,0.09,260,232,259,260,0.04130573990433386,0.002408306809784584,0.9965130216846464,0.9979266695766041,1.1511208310552214,140692.3076923077,0.20747863247863246,0.9958781772383788,9177,9164,13,9145,4367,4367,4349
ablation,rising_warning,Rising Warning,evaluation,no_suppression,No Suppression,7,36,100.0,0.09,260,226,258,260,0.04112107726927218,0.002346035663813741,0.9979259906123785,0.9979259906123785,1.152045504266025,140646.15384615384,0.22596153846153846,0.9958639705882353,9161,9161,0,9142,4352,4352,4334
ablation,rising_warning,Rising Warning,evaluation,no_priority_scheduler,No Priority Scheduler,7,36,100.0,0.09,260,226,260,260,0.04119488079677426,0.0023877809911750205,0.9967245332459875,0.9981412639405205,1.1525906451966261,140446.15384615384,0.2537393162393163,0.9960928522178809,9159,9146,13,9129,4351,4351,4334
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,7,36,100.0,0.09,260,260,260,260,0.0477141572435539,0.01124205132956715,0.8262820512820512,1.0,1.1802430824928885,118984.61538461539,0.3689102564102565,1.0,9360,7734,1626,7734,2458,2458,2458
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,7,36,100.0,0.09,260,260,260,260,0.05121223098897008,0.017404776819310346,0.8177350427350427,1.0,1.1228116017768488,117753.84615384616,0.3888888888888889,1.0,9360,7654,1706,7654,2458,2458,2458
ablation,hazardous_spike,Hazardous Spike,evaluation,no_aoi_term,No AoI,7,36,100.0,0.09,260,260,260,260,0.04772925771661018,0.01129469800267302,0.8262820512820512,1.0,1.1798551848978536,118984.61538461539,0.3689102564102565,1.0,9360,7734,1626,7734,2458,2458,2458
ablation,hazardous_spike,Hazardous Spike,evaluation,no_suppression,No Suppression,7,36,100.0,0.09,260,239,257,260,0.04043000115227149,0.0014070242476945066,0.9979241778651808,0.9979241778651808,1.1484563170571491,140523.07692307694,0.18504273504273502,1.0,9153,9153,0,9134,2458,2458,2458
ablation,hazardous_spike,Hazardous Spike,evaluation,no_priority_scheduler,No Priority Scheduler,7,36,100.0,0.09,260,260,260,260,0.0477141572435539,0.01124205132956715,0.8262820512820512,1.0,1.1802430824928885,118984.61538461539,0.3689102564102565,1.0,9360,7734,1626,7734,2458,2458,2458
ablation,hotspot_heavy,Hotspot Heavy,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,7,36,100.0,0.09,260,235,260,260,0.042403926672352946,0.004421133655804488,0.9910463861920172,0.9991299619358347,1.134102536192446,141338.46153846153,0.10160256410256409,0.9979338842975206,9270,9195,75,9187,1452,1452,1449
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_tcn_prediction,No Prediction,7,36,100.0,0.09,260,256,260,260,0.04611886970476976,0.008780141043054556,0.9913424540401881,0.9998921949115999,1.0873315363881402,142692.3076923077,0.01666666666666667,0.9993315508021391,9356,9276,80,9275,1496,1496,1495
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_aoi_term,No AoI,7,36,100.0,0.09,260,235,260,260,0.0425010191681161,0.004414917751607703,0.9913746630727763,0.9994565217391305,1.1335508428493746,141461.53846153847,0.09914529914529913,0.9986254295532646,9275,9200,75,9195,1455,1455,1453
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_suppression,No Suppression,7,36,100.0,0.09,260,238,260,260,0.042100736579860916,0.003854876917636347,0.9991356023770934,0.9991356023770934,1.1334486860603439,142261.53846153847,0.1090811965811966,0.9986082115518441,9255,9255,0,9247,1437,1437,1435
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_priority_scheduler,No Priority Scheduler,7,36,100.0,0.09,260,235,260,260,0.042403926672352946,0.004421133655804488,0.9910463861920172,0.9991299619358347,1.134102536192446,141338.46153846153,0.10160256410256409,0.9979338842975206,9270,9195,75,9187,1452,1452,1449
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,11,36,100.0,0.09,260,228,259,260,0.04084868464471367,0.0018718673274926727,0.9969378827646544,0.9978108581436077,1.1550021939447126,140246.15384615384,0.27083333333333337,0.9951888381044022,9144,9136,8,9116,4157,4157,4137
ablation,rising_warning,Rising Warning,evaluation,no_tcn_prediction,No Prediction,11,36,100.0,0.09,260,246,260,260,0.044321888285142844,0.005855269390530814,0.9981753783406676,0.9991405242801891,1.102258064516129,143076.92307692306,0.03194444444444444,0.9981507165973186,9317,9308,9,9300,4326,4326,4318
ablation,rising_warning,Rising Warning,evaluation,no_aoi_term,No AoI,11,36,100.0,0.09,260,228,259,260,0.04084868464471367,0.0018718673274926727,0.9969378827646544,0.9978108581436077,1.1550021939447126,140246.15384615384,0.27083333333333337,0.9951888381044022,9144,9136,8,9116,4157,4157,4137
ablation,rising_warning,Rising Warning,evaluation,no_suppression,No Suppression,11,36,100.0,0.09,260,220,259,260,0.04077340209612155,0.0017661268097772331,0.9980312807612381,0.9980312807612381,1.1553972602739726,140384.61538461538,0.29615384615384616,0.9956689124157844,9143,9143,0,9125,4156,4156,4138
ablation,rising_warning,Rising Warning,evaluation,no_priority_scheduler,No Priority Scheduler,11,36,100.0,0.09,260,228,259,260,0.04084868464471367,0.0018718673274926727,0.9969378827646544,0.9978108581436077,1.1550021939447126,140246.15384615384,0.27083333333333337,0.9951888381044022,9144,9136,8,9116,4157,4157,4137
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,11,36,100.0,0.09,260,260,260,260,0.05272349819412948,0.01881399884000681,0.8303418803418804,1.0,1.1253216675244466,119569.23076923077,0.3639957264957265,1.0,9360,7772,1588,7772,2492,2492,2492
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,11,36,100.0,0.09,260,260,260,260,0.055694390760818106,0.02366935843427505,0.8229700854700854,1.0,1.0794495651045048,118507.69230769231,0.3799145299145299,1.0,9360,7703,1657,7703,2492,2492,2492
ablation,hazardous_spike,Hazardous Spike,evaluation,no_aoi_term,No AoI,11,36,100.0,0.09,260,260,260,260,0.05268755540759598,0.018694615703539322,0.8303418803418804,1.0,1.1267370046320124,119569.23076923077,0.3639957264957265,1.0,9360,7772,1588,7772,2492,2492,2492
ablation,hazardous_spike,Hazardous Spike,evaluation,no_suppression,No Suppression,11,36,100.0,0.09,260,249,260,260,0.04579895721354309,0.007962900341021395,0.9998930366884159,0.9998930366884159,1.1013050919982883,143815.38461538462,0.008333333333333333,1.0,9349,9349,0,9348,2492,2492,2492
ablation,hazardous_spike,Hazardous Spike,evaluation,no_priority_scheduler,No Priority Scheduler,11,36,100.0,0.09,260,260,260,260,0.05272349819412948,0.01881399884000681,0.8303418803418804,1.0,1.1253216675244466,119569.23076923077,0.3639957264957265,1.0,9360,7772,1588,7772,2492,2492,2492
ablation,hotspot_heavy,Hotspot Heavy,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,11,36,100.0,0.09,260,195,260,260,0.04018229212601609,0.002418769613746242,0.9908094341711882,0.998215082552432,1.1518775145283862,137661.53846153847,0.6581196581196581,0.99812734082397,9031,8964,67,8948,1068,1068,1066
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_tcn_prediction,No Prediction,11,36,100.0,0.09,260,223,260,260,0.04345092290446846,0.005376242608171755,0.991455764654986,0.9994548626253816,1.1063597687356823,141030.76923076922,0.1895299145299145,1.0,9246,9172,74,9167,1129,1129,1129
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_aoi_term,No AoI,11,36,100.0,0.09,260,196,260,260,0.040107335501248065,0.0023752127830438726,0.9909030397159974,0.9983234603777803,1.1537169726824898,137415.38461538462,0.6792735042735042,0.9962476547842402,9014,8947,67,8932,1066,1066,1062
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_suppression,No Suppression,11,36,100.0,0.09,260,198,257,260,0.03999693613563649,0.0022263371076997928,0.9975552839204356,0.9975552839204356,1.150941294419071,138107.6923076923,0.6316239316239315,0.9962825278810409,8999,8999,0,8977,1076,1076,1072
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_priority_scheduler,No Priority Scheduler,11,36,100.0,0.09,260,195,260,260,0.04018229212601609,0.002418769613746242,0.9908094341711882,0.998215082552432,1.1518775145283862,137661.53846153847,0.6581196581196581,0.99812734082397,9031,8964,67,8948,1068,1068,1066
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,13,36,100.0,0.09,260,225,260,260,0.04084585788373193,0.0019176481811756356,0.9967227441555604,0.9980310654123824,1.15223586146427,140369.23076923078,0.24305555555555558,0.9957835558678847,9154,9142,12,9124,4269,4269,4251
ablation,rising_warning,Rising Warning,evaluation,no_tcn_prediction,No Prediction,13,36,100.0,0.09,260,248,260,260,0.04511051746751361,0.006557610344340078,0.998502193217075,0.9997857525441886,1.0934319082824386,143584.61538461538,0.012072649572649571,0.9995514689392241,9347,9335,12,9333,4459,4459,4457
ablation,rising_warning,Rising Warning,evaluation,no_aoi_term,No AoI,13,36,100.0,0.09,260,225,260,260,0.04084585788373193,0.0019176481811756356,0.9967227441555604,0.9980310654123824,1.15223586146427,140369.23076923078,0.24305555555555558,0.9957835558678847,9154,9142,12,9124,4269,4269,4251
ablation,rising_warning,Rising Warning,evaluation,no_suppression,No Suppression,13,36,100.0,0.09,260,224,258,260,0.040746631779429214,0.0019444525496486618,0.9978127734033246,0.9978127734033246,1.15201665935993,140369.23076923078,0.2403846153846154,0.9953040619863818,9144,9144,0,9124,4259,4259,4239
ablation,rising_warning,Rising Warning,evaluation,no_priority_scheduler,No Priority Scheduler,13,36,100.0,0.09,260,225,260,260,0.04084585788373193,0.0019176481811756356,0.9967227441555604,0.9980310654123824,1.15223586146427,140369.23076923078,0.24305555555555558,0.9957835558678847,9154,9142,12,9124,4269,4269,4251
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,13,36,100.0,0.09,260,260,260,260,0.05157164634844654,0.016799764119692757,0.8336538461538462,1.0,1.1364859669357938,120046.15384615384,0.3530982905982906,1.0,9360,7803,1557,7803,2541,2541,2541
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,13,36,100.0,0.09,260,260,260,260,0.05509940724919199,0.022494458810348554,0.8252136752136752,1.0,1.0829880890730192,118830.76923076923,0.37254273504273505,1.0,9360,7724,1636,7724,2541,2541,2541
ablation,hazardous_spike,Hazardous Spike,evaluation,no_aoi_term,No AoI,13,36,100.0,0.09,260,260,260,260,0.05169549176593344,0.01699561983384974,0.8336538461538462,1.0,1.1344354735358195,120046.15384615384,0.3530982905982906,1.0,9360,7803,1557,7803,2541,2541,2541
ablation,hazardous_spike,Hazardous Spike,evaluation,no_suppression,No Suppression,13,36,100.0,0.09,260,255,260,260,0.04468686683241348,0.006103140592718163,0.999893105291288,0.999893105291288,1.1090442591404746,143907.6923076923,0.002243589743589744,1.0,9355,9355,0,9354,2541,2541,2541
ablation,hazardous_spike,Hazardous Spike,evaluation,no_priority_scheduler,No Priority Scheduler,13,36,100.0,0.09,260,260,260,260,0.05157164634844654,0.016799764119692757,0.8336538461538462,1.0,1.1364859669357938,120046.15384615384,0.3530982905982906,1.0,9360,7803,1557,7803,2541,2541,2541
ablation,hotspot_heavy,Hotspot Heavy,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,13,36,100.0,0.09,260,211,260,260,0.04135018498588123,0.003937019352324675,0.9934174437739989,0.9990070609002648,1.143014908890116,139307.6923076923,0.5236111111111111,0.9973509933774835,9115,9064,51,9055,1510,1510,1506
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_tcn_prediction,No Prediction,13,36,100.0,0.09,260,242,260,260,0.04501859942635867,0.007641766436180222,0.9936565960649393,0.999459284092138,1.0938108634494699,142184.61538461538,0.06121794871794872,0.9987737584304108,9301,9247,54,9242,1631,1631,1629
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_aoi_term,No AoI,13,36,100.0,0.09,260,211,260,260,0.04132823392199875,0.003999308926976344,0.9931927975406236,0.9987854698023628,1.1431571965509617,139169.23076923078,0.527136752136752,0.9973509933774835,9108,9057,51,9046,1510,1510,1506
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_suppression,No Suppression,13,36,100.0,0.09,260,206,260,260,0.04074049629813708,0.0034687882618044934,0.998787344283982,0.998787344283982,1.146467991169978,139384.61538461538,0.6528846153846155,0.9979946524064172,9071,9071,0,9060,1496,1496,1493
